지 역,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015년 06월,Unnamed: 5,2015년 07월,Unnamed: 7,2015년 08월,Unnamed: 9,2015년 09월,Unnamed: 11,2015년 10월,Unnamed: 13,2015년 11월,Unnamed: 15,2015년 12월,Unnamed: 17,2016년 01월,Unnamed: 19,2016년 02월,Unnamed: 21,2016년 03월,Unnamed: 23,2016년 04월,Unnamed: 25,2016년 05월,Unnamed: 27,2016년 06월,Unnamed: 29,2016년 07월,Unnamed: 31,2016년 08월,Unnamed: 33,2016년 09월,Unnamed: 35,2016년 10월,Unnamed: 37,2016년 11월,Unnamed: 39,2016년 12월,Unnamed: 41,2017년 01월,Unnamed: 43,2017년 02월,Unnamed: 45,2017년 03월,Unnamed: 47,2017년 04월,Unnamed: 49,2017년 05월,Unnamed: 51,2017년 06월,Unnamed: 53,2017년 07월,Unnamed: 55,2017년 08월,Unnamed: 57,2017년 09월,Unnamed: 59,2017년 10월,Unnamed: 61,2017년 11월,Unnamed: 63,2017년 12월,Unnamed: 65,2018년 01월,Unnamed: 67,2018년 02월,Unnamed: 69,2018년 03월,Unnamed: 71,2018년 04월,Unnamed: 73,2018년 05월,Unnamed: 75,2018년 06월,Unnamed: 77,2018년 07월,Unnamed: 79,2018년 08월,Unnamed: 81,2018년 09월,Unnamed: 83,2018년 10월,Unnamed: 85,2018년 11월,Unnamed: 87,2018년 12월,Unnamed: 89,2019년 01월,Unnamed: 91,2019년 02월,Unnamed: 93,2019년 03월,Unnamed: 95,2019년 04월,Unnamed: 97,2019년 05월,Unnamed: 99,2019년 06월,Unnamed: 101,2019년 07월,Unnamed: 103,2019년 08월,Unnamed: 105,2019년 09월,Unnamed: 107,2019년 10월,Unnamed: 109,2019년 11월,Unnamed: 111,2019년 12월,Unnamed: 113,2020년 01월,Unnamed: 115,2020년 02월,Unnamed: 117,2020년 03월,Unnamed: 119,2020년 04월,Unnamed: 121,2020년 05월,Unnamed: 123,2020년 06월,Unnamed: 125,2020년 07월,Unnamed: 127,2020년 08월,Unnamed: 129,2020년 09월,Unnamed: 131,2020년 10월,Unnamed: 133,2020년 11월,Unnamed: 135,2020년 12월,Unnamed: 137
,,,,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률
전국,,,,102.502,-,102.362,-0.14,102.273,-0.09,102.196,-0.08,102.081,-0.11,101.963,-0.12,101.85,-0.11,101.785,-0.06,101.711,-0.07,101.65,-0.06,101.587,-0.06,101.497,-0.09,101.396,-0.1,101.301,-0.09,101.202,-0.1,101.131,-0.07,101.032,-0.1,100.959,-0.07,100.885,-0.07,100.841,-0.04,100.798,-0.04,100.736,-0.06,100.641,-0.09,100.522,-0.12,100.438,-0.08,100.364,-0.07,100.261,-0.1,100.186,-0.08,100.113,-0.07,100,-0.11,99.951,-0.05,99.902,-0.05,99.847,-0.05,99.795,-0.05,99.725,-0.07,99.655,-0.07,99.577,-0.08,99.479,-0.1,99.343,-0.14,99.203,-0.14,99.081,-0.12,98.986,-0.1,98.888,-0.1,98.845,-0.04,98.807,-0.04,98.76,-0.05,98.69,-0.07,98.593,-0.1,98.473,-0.12,98.387,-0.09,98.286,-0.1,98.207,-0.08,98.139,-0.07,98.066,-0.07,98.004,-0.06,97.942,-0.06,97.912,-0.03,97.894,-0.02,97.874,-0.02,97.857,-0.02,97.832,-0.03,97.814,-0.02,97.813,0,97.83,0.02,97.862,0.03,97.923,0.06,98.137,0.22
수도권,,,,102.517,-,102.29,-0.22,102.129,-0.16,101.963,-0.16,101.791,-0.17,101.592,-0.19,101.406,-0.18,101.311,-0.09,101.22,-0.09,101.167,-0.05,101.109,-0.06,101.032,-0.08,100.925,-0.11,100.839,-0.09,100.754,-0.08,100.692,-0.06,100.623,-0.07,100.556,-0.07,100.505,-0.05,100.477,-0.03,100.454,-0.02,100.41,-0.04,100.357,-0.05,100.303,-0.05,100.234,-0.07,100.192,-0.04,100.128,-0.06,100.087,-0.04,100.058,-0.03,100,-0.06,99.978,-0.02,99.944,-0.03,99.944,0,99.97,0.03,99.99,0.02,100.022,0.03,100.033,0.01,100.034,0,100.01,-0.02,99.939,-0.07,99.892,-0.05,99.883,-0.01,99.885,0,99.909,0.02,99.918,0.01,99.945,0.03,99.944,0,99.875,-0.07,99.788,-0.09,99.702,-0.09,99.612,-0.09,99.537,-0.08,99.454,-0.08,99.35,-0.1,99.262,-0.09,99.159,-0.1,99.103,-0.06,99.066,-0.04,99.036,-0.03,99.019,-0.02,98.972,-0.05,98.918,-0.05,98.881,-0.04,98.879,0,98.884,0,98.885,0,98.962,0.08
지방권,,,,102.483,-,102.426,-0.06,102.406,-0.02,102.415,0.01,102.357,-0.06,102.316,-0.04,102.272,-0.04,102.238,-0.03,102.179,-0.06,102.111,-0.07,102.043,-0.07,101.94,-0.1,101.845,-0.09,101.742,-0.1,101.63,-0.11,101.55,-0.08,101.422,-0.13,101.344,-0.08,101.247,-0.1,101.188,-0.06,101.126,-0.06,101.046,-0.08,100.912,-0.13,100.731,-0.18,100.633,-0.1,100.527,-0.11,100.388,-0.14,100.28,-0.11,100.164,-0.12,100,-0.16,99.926,-0.07,99.861,-0.07,99.755,-0.11,99.629,-0.13,99.474,-0.16,99.309,-0.17,99.146,-0.16,98.955,-0.19,98.715,-0.24,98.511,-0.21,98.318,-0.2,98.143,-0.18,97.951,-0.2,97.847,-0.11,97.766,-0.08,97.65,-0.12,97.519,-0.13,97.394,-0.13,97.244,-0.15,97.159,-0.09,97.048,-0.11,96.965,-0.09,96.911,-0.06,96.865,-0.05,96.828,-0.04,96.804,-0.02,96.797,-0.01,96.798,0,96.787,-0.01,96.771,-0.02,96.764,-0.01,96.78,0.02,96.813,0.03,96.846,0.03,96.903,0.06,97.02,0.12,97.36,0.35
6대광역시,,,,101.681,-,101.597,-0.08,101.532,-0.06,101.473,-0.06,101.423,-0.05,101.322,-0.1,101.217,-0.1,101.185,-0.03,101.103,-0.08,101.026,-0.08,100.988,-0.04,100.908,-0.08,100.851,-0.06,100.796,-0.05,100.729,-0.07,100.662,-0.07,100.582,-0.08,100.521,-0.06,100.461,-0.06,100.429,-0.03,100.386,-0.04,100.346,-0.04,100.277,-0.07,100.196,-0.08,100.166,-0.03,100.127,-0.04,100.101,-0.03,100.088,-0.01,100.047,-0.04,100,-0.05,99.984,-0.02,99.961,-0.02,99.899,-0.06,99.863,-0.04,99.787,-0.08,99.742,-0.05,99.663,-0.08,99.567,-0.1,99.444,-0.12,99.339,-0.11,99.219,-0.12,99.084,-0.14,98.943,-0.14,98.855,-0.09,98.778,-0.08,98.679,-0.1,98.607,-0.07,98.525,-0.08,98.45,-0.08,98.358,-0.09,98.269,-0.09,98.202,-0.07,98.179,-0.02,98.155,-0.02,98.128,-0.03,98.113,-0.02,98.105,-0.01,98.092,-0.01,98.083,-0.01,98.063,-0.02,98.058,0,98.058,0,98.09,0.03,98.102,0.01,98.161,0.06,98.275,0.12,98.629,0.36
5대광역시,,,,101.934,-,101.856,-0.08,101.81,-0.05,101.756,-0.05,101.701,-0.05,101.634,-0.07,101.527,-0.11,101.492,-0.03,101.414,-0.08,101.308,-0.1,101.24,-0.07,101.134,-0.1,101.058,-0.07,100.993,-0.06,100.898,-0.09,100.811,-0.09,100.711,-0.1,100.637,-0.07,100.562,-0.07,100.524,-0.04,100.47,-0.05,100.421,-0.05,100.335,-0.09,100.236,-0.1,100.198,-0.04,100.154,-0.04,100.119,-0.04,100.102,-0.02,100.054,-0.05,100,-0.05,99.985,-0.01,99.957,-0.03,99.876,-0.08,99.828,-0.05,99.732,-0.1,99.671,-0.06,99.565,-0.11,99.442,-0.12,99.302,-0.14,99.174,-0.13,99.029,-0.15,98.859,-0.17,98.694,-0.17,98.577,-0.12,98.506,-0.07,98.384,-0.12,98.296,-0.09,98.199,-0.1,98.11,-0.09,98.025,-0.09,97.947,-0.08,97.879,-0.07,97.858,-0.02,97.847,-0.01,97.834,-0.01,97.827,-0.01,97.842,0.01,97.837,-0.01,97.842,0.01,97.831,-0.01,97.834,0,97.841,0.01,97.889,0.05,97.902,0.01,97.968,0.07,98.109,0.14,98.53,0.43
9개도,,,,102.341,-,102.222,-0.12,102.156,-0.06,102.101,-0.05,101.992,-0.11,101.929,-0.06,101.883,-0.05,101.826,-0.06,101.775,-0.05,101.722,-0.05,101.643,-0.08,101.544,-0.1,101.436,-0.11,101.334,-0.1,101.237,-0.1,101.176,-0.06,101.086,-0.09,101.031,-0.05,100.958,-0.07,100.911,-0.05,100.87,-0.04,100.809,-0.06,100.734,-0.07,100.648,-0.09,100.583,-0.06,100.502,-0.08,100.364,-0.14,100.245,-0.12,100.148,-0.1,100,-0.15,99.937,-0.06,99.888,-0.05,99.851,-0.04,99.769,-0.08,99.684,-0.09,99.577,-0.11,99.485,-0.09,99.384,-0.1,99.225,-0.16,99.042,-0.18,98.888,-0.16,98.782,-0.11,98.656,-0.13,98.615,-0.04,98.573,-0.04,98.516,-0.06,98.423,-0.09,98.291,-0.13,98.109,-0.18,98.006,-0.1,97.877,-0.13,97.772,-0.11,97.679,-0.1,97.586,-0.1,97.505,-0.08,97.441,-0.07,97.391,-0.05,97.364,-0.03,97.329,-0.04,97.309,-0.02,97.274,-0.04,97.247,-0.03,97.249,0,97.286,0.04,97.297,0.01,97.317,0.02,97.418,0.1
8개도,,,,102.751,-,102.712,-0.04,102.718,0.01,102.782,0.06,102.723,-0.06,102.706,-0.02,102.717,0.01,102.683,-0.03,102.643,-0.04,102.607,-0.03,102.54,-0.07,102.437,-0.1,102.323,-0.11,102.187,-0.13,102.059,-0.12,101.984,-0.07,101.829,-0.15,101.743,-0.08,101.628,-0.11,101.55,-0.08,101.479,-0.07,101.386,-0.09,101.278,-0.11,101.135,-0.14,101.019,-0.12,100.863,-0.15,100.629,-0.23,100.441,-0.19,100.263,-0.18,100,-0.26,99.875,-0.12,99.772,-0.1,99.649,-0.12,99.457,-0.19,99.251,-0.21,98.999,-0.25,98.807,-0.19,98.573,-0.24,98.249,-0.33,97.977,-0.28,97.733,-0.25,97.532,-0.21,97.279,-0.26,97.167,-0.12,97.074,-0.1,96.956,-0.12,96.784,-0.18,96.634,-0.15,96.436,-0.2,96.345,-0.09,96.203,-0.15,96.103,-0.1,96.021,-0.09,95.948,-0.08,95.891,-0.06,95.861,-0.03,95.827,-0.04,95.82,-0.01,95.787,-0.03,95.76,-0.03,95.739,-0.02,95.735,0,95.737,0,95.779,0.04,95.812,0.03,95.877,0.07,96.017,0.15
서울,,,,104.162,-,103.846,-0.3,103.645,-0.19,103.462,-0.18,103.214,-0.24,102.887,-0.32,102.539,-0.34,102.392,-0.14,102.253,-0.14,102.196,-0.06,102.143,-0.05,102.057,-0.08,101.898,-0.16,101.753,-0.14,101.592,-0.16,101.478,-0.11,101.309,-0.17,101.15,-0.16,101.047,-0.1,100.992,-0.06,100.94,-0.05,100.859,-0.08,100.768,-0.09,100.655,-0.11,100.469,-0.18,100.358,-0.11,100.226,-0.13,100.179,-0.05,100.12,-0.06,100,-0.12,99.939,-0.06,99.83,-0.11,99.742,-0.09,99.762,0.02,99.751,-0.01,99.771,0.02,99.773,0,99.707,-0.07,99.63,-0.08,99.568,-0.06,99.53,-0.04,99.511,-0.02,99.517,0.01,99.523,0.01,99.566,0.04,99.64,0.07,99.65,0.01,99.639,-0.01,99.651,0.01,99.627,-0.02,99.6,-0.03,99.577,-0.02,99.508,-0.07,99.413,-0.1,99.35,-0.06,99.222,-0.13,99.199,-0.02,99.182,-0.02,99.179,0,99.168,-0.01,99.124,-0.04,99.054,-0.07,98.946,-0.11,98.882,-0.06,98.904,0.02,98.951,0.05,99.05,0.1
,강북지역,,,104.064,-,103.756,-0.3,103.498,-0.25,103.237,-0.25,102.825,-0.4,102.321,-0.49,102.023,-0.29,101.94,-0.08,101.834,-0.1,101.758,-0.07,101.721,-0.04,101.677,-0.04,101.556,-0.12,101.391,-0.16,101.246,-0.14,101.128,-0.12,100.981,-0.14,100.842,-0.14,100.741,-0.1,100.677,-0.06,100.631,-0.05,100.576,-0.05,100.49,-0.09,100.415,-0.07,100.329,-0.09,100.261,-0.07,100.211,-0.05,100.145,-0.07,100.084,-0.06,100,-0.08,99.932,-0.07,99.862,-0.07,99.8,-0.06,99.777,-0.02,99.787,0.01,99.776,-0.01,99.74,-0.04,99.704,-0.04,99.685,-0.02,99.654,-0.03,99.647,-0.01,99.652,0.01,99.638,-0.01,99.604,-0.03,99.603,0,99.685,0.08,99.742,0.06,99.748,0.01,99.751,0,99.747,0,99.743,0,99.732,-0.01,99.699,-0.03,99.632,-0.07,99.577,-0.06,99.548,-0.03,99.528,-0.02,99.513,-0.01,99.487,-0.03,99.469,-0.02,99.443,-0.03,99.397,-0.05,99.359,-0.04,99.331,-0.03,99.346,0.02,99.393,0.05,99.486,0.09
