지 역,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015년 01월,Unnamed: 5,2015년 02월,Unnamed: 7,2015년 03월,Unnamed: 9,2015년 04월,Unnamed: 11,2015년 05월,Unnamed: 13,2015년 06월,Unnamed: 15,2015년 07월,Unnamed: 17,2015년 08월,Unnamed: 19,2015년 09월,Unnamed: 21,2015년 10월,Unnamed: 23,2015년 11월,Unnamed: 25,2015년 12월,Unnamed: 27,2016년 01월,Unnamed: 29,2016년 02월,Unnamed: 31,2016년 03월,Unnamed: 33,2016년 04월,Unnamed: 35,2016년 05월,Unnamed: 37,2016년 06월,Unnamed: 39,2016년 07월,Unnamed: 41,2016년 08월,Unnamed: 43,2016년 09월,Unnamed: 45,2016년 10월,Unnamed: 47,2016년 11월,Unnamed: 49,2016년 12월,Unnamed: 51,2017년 01월,Unnamed: 53,2017년 02월,Unnamed: 55,2017년 03월,Unnamed: 57,2017년 04월,Unnamed: 59,2017년 05월,Unnamed: 61,2017년 06월,Unnamed: 63,2017년 07월,Unnamed: 65,2017년 08월,Unnamed: 67,2017년 09월,Unnamed: 69,2017년 10월,Unnamed: 71,2017년 11월,Unnamed: 73,2017년 12월,Unnamed: 75,2018년 01월,Unnamed: 77,2018년 02월,Unnamed: 79,2018년 03월,Unnamed: 81,2018년 04월,Unnamed: 83,2018년 05월,Unnamed: 85,2018년 06월,Unnamed: 87,2018년 07월,Unnamed: 89,2018년 08월,Unnamed: 91,2018년 09월,Unnamed: 93,2018년 10월,Unnamed: 95,2018년 11월,Unnamed: 97,2018년 12월,Unnamed: 99,2019년 01월,Unnamed: 101,2019년 02월,Unnamed: 103,2019년 03월,Unnamed: 105,2019년 04월,Unnamed: 107,2019년 05월,Unnamed: 109,2019년 06월,Unnamed: 111,2019년 07월,Unnamed: 113,2019년 08월,Unnamed: 115,2019년 09월,Unnamed: 117,2019년 10월,Unnamed: 119,2019년 11월,Unnamed: 121,2019년 12월,Unnamed: 123,2020년 01월,Unnamed: 125,2020년 02월,Unnamed: 127,2020년 03월,Unnamed: 129,2020년 04월,Unnamed: 131,2020년 05월,Unnamed: 133,2020년 06월,Unnamed: 135,2020년 07월,Unnamed: 137,2020년 08월,Unnamed: 139,2020년 09월,Unnamed: 141,2020년 10월,Unnamed: 143,2020년 11월,Unnamed: 145,2020년 12월,Unnamed: 147
,,,,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률,지수,변동률
전국,,,,91.514,0.36,91.946,0.47,92.545,0.65,93.393,0.92,93.996,0.65,94.65,0.7,95.083,0.46,95.49,0.43,96.052,0.59,96.61,0.58,97.159,0.57,97.522,0.37,97.694,0.18,97.864,0.17,97.999,0.14,98.182,0.19,98.336,0.16,98.49,0.16,98.612,0.12,98.727,0.12,98.832,0.11,99.041,0.21,99.265,0.23,99.366,0.1,99.405,0.04,99.445,0.04,99.534,0.09,99.602,0.07,99.669,0.07,99.754,0.09,99.792,0.04,99.87,0.08,99.924,0.05,99.965,0.04,100,0.04,99.935,-0.06,99.836,-0.1,99.662,-0.17,99.445,-0.22,99.135,-0.31,98.702,-0.44,98.312,-0.39,97.985,-0.33,97.685,-0.31,97.558,-0.13,97.472,-0.09,97.339,-0.14,97.064,-0.28,96.749,-0.32,96.425,-0.34,96.064,-0.37,95.636,-0.45,95.329,-0.32,95.041,-0.3,94.795,-0.26,94.666,-0.14,94.645,-0.02,94.79,0.15,95.011,0.23,95.341,0.35,95.766,0.45,96.092,0.34,96.389,0.31,96.567,0.19,96.708,0.15,97.11,0.41,97.606,0.51,98.272,0.68,99.07,0.81,99.777,0.71,100.792,1.02,102.323,1.52
수도권,,,,87.289,0.48,87.902,0.7,88.701,0.91,89.844,1.29,90.695,0.95,91.591,0.99,92.232,0.7,92.808,0.62,93.584,0.84,94.353,0.82,95.117,0.81,95.617,0.53,95.865,0.26,96.089,0.23,96.288,0.21,96.559,0.28,96.804,0.25,97.119,0.33,97.371,0.26,97.591,0.23,97.754,0.17,98.023,0.27,98.314,0.3,98.432,0.12,98.472,0.04,98.528,0.06,98.641,0.11,98.816,0.18,99.019,0.21,99.251,0.23,99.419,0.17,99.634,0.22,99.763,0.13,99.866,0.1,100,0.13,99.948,-0.05,99.85,-0.1,99.663,-0.19,99.417,-0.25,99.077,-0.34,98.618,-0.46,98.24,-0.38,97.956,-0.29,97.769,-0.19,97.797,0.03,97.864,0.07,97.766,-0.1,97.475,-0.3,97.08,-0.41,96.647,-0.45,96.183,-0.48,95.682,-0.52,95.399,-0.29,95.178,-0.23,95.014,-0.17,95.026,0.01,95.175,0.16,95.532,0.38,95.945,0.43,96.478,0.56,97.06,0.6,97.527,0.48,97.936,0.42,98.209,0.28,98.425,0.22,98.949,0.53,99.57,0.63,100.379,0.81,101.334,0.95,102.146,0.8,103.256,1.09,104.632,1.33
지방권,,,,95.791,0.25,96.026,0.25,96.407,0.4,96.935,0.55,97.273,0.35,97.67,0.41,97.889,0.22,98.125,0.24,98.468,0.35,98.814,0.35,99.148,0.34,99.374,0.23,99.47,0.1,99.587,0.12,99.657,0.07,99.754,0.1,99.818,0.06,99.812,-0.01,99.806,-0.01,99.817,0.01,99.868,0.05,100.019,0.15,100.176,0.16,100.261,0.08,100.298,0.04,100.324,0.03,100.391,0.07,100.353,-0.04,100.291,-0.06,100.234,-0.06,100.148,-0.09,100.093,-0.05,100.076,-0.02,100.059,-0.02,100,-0.06,99.923,-0.08,99.822,-0.1,99.661,-0.16,99.471,-0.19,99.19,-0.28,98.781,-0.41,98.38,-0.41,98.013,-0.37,97.606,-0.42,97.333,-0.28,97.103,-0.24,96.936,-0.17,96.676,-0.27,96.436,-0.25,96.213,-0.23,95.949,-0.27,95.59,-0.37,95.26,-0.34,94.91,-0.37,94.587,-0.34,94.326,-0.28,94.147,-0.19,94.094,-0.06,94.138,0.05,94.281,0.15,94.563,0.3,94.758,0.21,94.953,0.21,95.045,0.1,95.118,0.08,95.407,0.3,95.792,0.4,96.328,0.56,96.982,0.68,97.595,0.63,98.524,0.95,100.194,1.7
6대광역시,,,,92.005,0.31,92.304,0.32,92.808,0.55,93.605,0.86,94.156,0.59,94.796,0.68,95.197,0.42,95.543,0.36,95.978,0.46,96.459,0.5,96.967,0.53,97.26,0.3,97.399,0.14,97.573,0.18,97.684,0.11,97.855,0.18,98.007,0.16,98.112,0.11,98.191,0.08,98.313,0.12,98.435,0.12,98.67,0.24,98.915,0.25,99.048,0.14,99.124,0.08,99.195,0.07,99.294,0.1,99.398,0.1,99.485,0.09,99.571,0.09,99.625,0.05,99.732,0.11,99.836,0.1,99.91,0.07,100,0.09,99.973,-0.03,99.9,-0.07,99.806,-0.09,99.702,-0.1,99.536,-0.17,99.202,-0.34,98.936,-0.27,98.681,-0.26,98.357,-0.33,98.212,-0.15,98.136,-0.08,98.042,-0.1,97.876,-0.17,97.713,-0.17,97.563,-0.15,97.399,-0.17,97.168,-0.24,97.005,-0.17,96.824,-0.19,96.645,-0.18,96.541,-0.11,96.54,0,96.668,0.13,96.874,0.21,97.198,0.33,97.63,0.44,98.004,0.38,98.344,0.35,98.615,0.28,98.755,0.14,99.167,0.42,99.502,0.34,99.958,0.46,100.686,0.73,101.45,0.76,102.755,1.29,104.972,2.16
5대광역시,,,,93.143,0.28,93.402,0.28,93.842,0.47,94.543,0.75,95.009,0.49,95.568,0.59,95.925,0.37,96.228,0.32,96.621,0.41,97.101,0.5,97.601,0.51,97.887,0.29,98.029,0.15,98.193,0.17,98.267,0.08,98.393,0.13,98.503,0.11,98.525,0.02,98.543,0.02,98.593,0.05,98.692,0.1,98.912,0.22,99.146,0.24,99.283,0.14,99.369,0.09,99.438,0.07,99.533,0.1,99.613,0.08,99.684,0.07,99.723,0.04,99.748,0.03,99.806,0.06,99.872,0.07,99.923,0.05,100,0.08,100.002,0,99.94,-0.06,99.835,-0.1,99.728,-0.11,99.564,-0.16,99.21,-0.36,98.936,-0.28,98.673,-0.27,98.357,-0.32,98.186,-0.17,98.098,-0.09,97.976,-0.12,97.802,-0.18,97.658,-0.15,97.538,-0.12,97.393,-0.15,97.181,-0.22,97.006,-0.18,96.821,-0.19,96.611,-0.22,96.518,-0.1,96.479,-0.04,96.592,0.12,96.786,0.2,97.096,0.32,97.535,0.45,97.887,0.36,98.135,0.25,98.236,0.1,98.319,0.08,98.688,0.38,99.045,0.36,99.552,0.51,100.272,0.72,100.971,0.7,102.101,1.12,104.377,2.23
9개도,,,,92.798,0.39,93.257,0.49,93.851,0.64,94.646,0.85,95.225,0.61,95.817,0.62,96.184,0.38,96.556,0.39,97.069,0.53,97.573,0.52,98.004,0.44,98.292,0.29,98.432,0.14,98.581,0.15,98.72,0.14,98.915,0.2,99.051,0.14,99.196,0.15,99.285,0.09,99.364,0.08,99.44,0.08,99.619,0.18,99.798,0.18,99.867,0.07,99.878,0.01,99.901,0.02,99.978,0.08,100.03,0.05,100.098,0.07,100.111,0.01,100.081,-0.03,100.08,0,100.078,0,100.066,-0.01,100,-0.07,99.818,-0.18,99.575,-0.24,99.252,-0.32,98.955,-0.3,98.579,-0.38,98.097,-0.49,97.607,-0.5,97.146,-0.47,96.695,-0.46,96.436,-0.27,96.228,-0.22,95.984,-0.25,95.591,-0.41,95.231,-0.38,94.907,-0.34,94.52,-0.41,93.979,-0.57,93.56,-0.45,93.166,-0.42,92.819,-0.37,92.605,-0.23,92.524,-0.09,92.619,0.1,92.792,0.19,93.041,0.27,93.338,0.32,93.647,0.33,93.912,0.28,94.042,0.14,94.197,0.17,94.625,0.45,95.156,0.56,95.829,0.71,96.61,0.82,97.249,0.66,98.095,0.87,99.315,1.24
8개도,,,,97.93,0.22,98.147,0.22,98.477,0.34,98.849,0.38,99.073,0.23,99.321,0.25,99.421,0.1,99.601,0.18,99.902,0.3,100.13,0.23,100.32,0.19,100.494,0.17,100.547,0.05,100.616,0.07,100.676,0.06,100.74,0.06,100.755,0.01,100.714,-0.04,100.671,-0.04,100.631,-0.04,100.632,0,100.722,0.09,100.811,0.09,100.852,0.04,100.85,0,100.841,-0.01,100.909,0.07,100.859,-0.05,100.818,-0.04,100.725,-0.09,100.55,-0.17,100.388,-0.16,100.285,-0.1,100.196,-0.09,100,-0.2,99.831,-0.17,99.658,-0.17,99.466,-0.19,99.204,-0.26,98.821,-0.39,98.393,-0.43,97.91,-0.49,97.489,-0.43,97.021,-0.48,96.666,-0.37,96.27,-0.41,95.952,-0.33,95.536,-0.43,95.18,-0.37,94.851,-0.35,94.498,-0.37,94.065,-0.46,93.628,-0.47,93.172,-0.49,92.77,-0.43,92.378,-0.42,92.084,-0.32,91.889,-0.21,91.798,-0.1,91.771,-0.03,91.832,0.07,91.878,0.05,91.942,0.07,91.987,0.05,92.038,0.06,92.241,0.22,92.529,0.31,92.891,0.39,93.302,0.44,93.661,0.38,94.293,0.67,95.3,1.07
서울,,,,86.245,0.4,86.826,0.67,87.606,0.9,88.699,1.25,89.468,0.87,90.332,0.97,91.029,0.77,91.658,0.69,92.59,1.02,93.456,0.94,94.451,1.06,95.173,0.76,95.498,0.34,95.72,0.23,95.875,0.16,96.033,0.16,96.236,0.21,96.49,0.26,96.769,0.29,96.956,0.19,97.12,0.17,97.379,0.27,97.705,0.33,97.857,0.16,97.924,0.07,97.97,0.05,98.124,0.16,98.322,0.2,98.586,0.27,98.982,0.4,99.232,0.25,99.501,0.27,99.626,0.13,99.764,0.14,100,0.24,100.21,0.21,100.465,0.26,100.665,0.2,100.501,-0.16,100.147,-0.35,99.737,-0.41,99.498,-0.24,99.547,0.05,99.826,0.28,100.194,0.37,100.425,0.23,100.398,-0.03,100.181,-0.22,99.665,-0.52,98.973,-0.69,98.351,-0.63,98.037,-0.32,97.896,-0.14,97.836,-0.06,97.854,0.02,97.996,0.15,98.16,0.17,98.511,0.36,98.913,0.41,99.49,0.58,100.203,0.72,100.447,0.24,100.611,0.16,100.721,0.11,100.784,0.06,101.023,0.24,101.473,0.45,102.133,0.65,102.745,0.6,103.235,0.48,104.045,0.78,105.041,0.96
,강북지역,,,86.98,0.29,87.393,0.48,88.037,0.74,88.926,1.01,89.55,0.7,90.22,0.75,90.919,0.78,91.628,0.78,92.64,1.1,93.689,1.13,94.771,1.16,95.44,0.71,95.728,0.3,95.975,0.26,96.172,0.21,96.357,0.19,96.604,0.26,96.908,0.31,97.225,0.33,97.488,0.27,97.688,0.21,98.01,0.33,98.377,0.37,98.553,0.18,98.637,0.09,98.702,0.07,98.811,0.11,98.961,0.15,99.179,0.22,99.389,0.21,99.51,0.12,99.602,0.09,99.74,0.14,99.849,0.11,100,0.15,100.11,0.11,100.256,0.15,100.456,0.2,100.572,0.11,100.522,-0.05,100.465,-0.06,100.437,-0.03,100.477,0.04,100.615,0.14,100.777,0.16,100.982,0.2,101.019,0.04,100.905,-0.11,100.699,-0.2,100.308,-0.39,99.781,-0.53,99.481,-0.3,99.384,-0.1,99.331,-0.05,99.335,0,99.423,0.09,99.529,0.11,99.769,0.24,100.006,0.24,100.29,0.28,100.576,0.29,100.779,0.2,100.947,0.17,101.047,0.1,101.089,0.04,101.274,0.18,101.636,0.36,102.155,0.51,102.709,0.54,103.18,0.46,103.692,0.5,104.514,0.79
